status,comments,hour,photo,age,shares,link,likes,video,type,day,str_length,newlines
0,134,17,1,1377539708,695,0,1801,0,4,0,175,4
0,107,16,1,1377534348,312,0,598,0,4,0,355,4
0,191,14,1,1377527922,712,0,956,0,4,0,297,4
0,121,12,1,1377521708,3476,0,3154,0,4,0,271,2
0,33,09,1,1377509400,169,0,600,0,4,0,329,4
0,337,21,1,1377466749,1263,0,2224,0,4,6,286,2
1,174,20,0,1377374567,656,0,1043,0,4,5,212,0
0,804,20,1,1377288023,672,0,2337,0,4,4,204,4
0,389,18,1,1377280923,686,0,2526,0,4,4,192,2
1,60,16,0,1377277154,245,0,611,0,4,4,194,1
0,64,13,1,1377265245,137,0,391,0,4,4,388,2
0,100,11,1,1377258560,225,0,645,0,4,4,345,4
0,318,09,1,1377250461,349,0,684,0,4,4,292,4
0,98,20,1,1377203728,214,0,588,0,4,3,159,0
1,263,17,0,1377193934,494,0,1913,0,4,3,357,2
0,53,16,1,1377187380,233,0,454,0,4,3,208,2
0,59,14,1,1377182286,223,0,961,0,4,3,314,6
1,431,13,0,1377179491,220,0,894,0,4,3,265,2
0,400,12,1,1377174566,1023,0,2535,0,4,3,272,2
0,83,09,1,1377164400,88,0,658,0,4,3,378,4
0,278,20,1,1377116531,986,0,1259,0,4,2,286,2
0,271,18,1,1377110246,2283,0,1797,0,4,2,381,4
0,127,17,1,1377104696,792,0,2291,0,4,2,243,3
0,372,15,1,1377099227,587,0,1556,0,4,2,156,2
0,231,13,1,1377091835,2004,0,2702,0,4,2,322,4
0,169,09,1,1377077401,317,0,682,0,4,2,312,6
0,34,00,1,1377044190,182,0,648,0,4,2,275,2
0,143,23,1,1377039600,1248,0,1395,0,4,1,246,0
0,503,19,1,1377027628,4019,0,5501,0,4,1,291,5
0,97,17,1,1377021007,159,0,689,0,4,1,222,3
1,112,16,0,1377015765,546,0,1155,0,4,1,179,0
0,554,15,1,1377011932,496,0,3961,0,4,1,205,1
0,129,13,1,1377006136,1429,0,1150,0,4,1,235,2
0,114,12,1,1377000610,168,0,530,0,4,1,372,4
0,143,09,1,1376991001,484,0,975,0,4,1,391,4
1,292,21,0,1376947089,447,0,1228,0,4,0,250,1
1,227,19,0,1376940281,186,0,619,0,4,0,131,1
1,534,17,0,1376934771,1851,0,2350,0,4,0,227,2
0,198,16,1,1376930573,364,0,1118,0,4,0,236,4
0,49,16,1,1376928150,195,0,325,0,4,0,251,2
0,50,14,1,1376921148,268,0,911,0,4,0,259,4
1,519,13,0,1376920100,99,0,427,0,4,0,314,2
0,256,12,1,1376914607,714,0,1069,0,4,0,257,4
0,209,09,1,1376904600,583,0,1503,0,4,0,284,4
