status,comments,hour,photo,age,shares,link,likes,video,string_length,type,day,newlines
0,8,16,1,1356691969,25,0,312,0,30,3,4,0
0,14,13,1,1356507946,24,0,313,0,24,3,2,0
0,1,23,1,1356458737,1,0,115,0,100,3,1,0
0,1,15,1,1356344044,5,0,88,0,25,3,0,0
0,2,12,1,1356246831,2,0,154,0,43,3,6,0
0,19,18,1,1356181423,26,0,524,0,45,3,5,0
0,20,00,1,1356116637,19,0,849,0,46,3,5,0
0,26,23,1,1355941127,12,0,1185,0,41,3,2,0
0,22,00,1,1355855582,25,0,629,0,31,3,2,0
0,18,00,1,1355769563,19,0,633,0,34,3,1,0
0,20,16,1,1355655754,36,0,998,0,69,3,6,1
0,11,14,1,1355560732,2,0,402,0,26,3,5,0
0,27,22,1,1355419012,35,0,997,0,29,3,3,0
0,16,18,1,1355316215,42,0,775,0,36,3,2,0
0,10,17,1,1355228051,19,0,380,0,46,3,1,0
0,8,00,1,1355080802,13,0,346,0,32,3,0,0
0,2,16,1,1355051382,11,0,143,0,49,3,6,0
0,1,01,1,1354909243,3,0,109,0,32,3,5,0
0,6,20,1,1354805786,12,0,204,0,30,3,3,0
0,3,17,1,1354622389,11,0,87,0,69,3,1,0
0,1,12,1,1354606073,3,0,121,0,28,3,1,0
0,4,15,1,1354528128,17,0,180,0,35,3,0,0
0,3,22,1,1354296554,2,0,269,0,27,3,4,0
0,1,00,1,1354129539,1,0,117,0,32,3,3,0
0,5,18,1,1354106127,18,0,201,0,38,3,2,0
0,11,13,1,1354003711,14,0,551,0,33,3,1,0
0,7,00,1,1353955700,12,0,330,0,60,3,1,0
0,5,15,1,1353925620,5,0,302,0,46,3,0,0
0,24,22,1,1353864265,40,0,1194,0,59,3,6,0
0,5,22,1,1353776484,24,0,557,0,43,3,5,0
0,8,17,1,1353585574,21,0,324,0,175,3,3,5
0,10,00,1,1353525764,19,0,188,0,56,3,3,0
0,7,12,1,1353480642,12,0,522,0,35,3,2,0
0,6,23,1,1353434058,23,0,361,0,55,3,1,0
0,65,21,1,1353341948,66,0,2138,0,51,3,0,0
0,31,13,1,1353225981,31,0,1137,0,29,3,6,0
0,17,00,1,1353179311,13,0,396,0,30,3,6,0
0,11,10,1,1353129508,22,0,670,0,35,3,5,0
0,5,00,1,1353090857,19,0,346,0,107,3,5,1
0,19,00,1,1353007581,15,0,984,0,35,3,4,0
0,10,17,1,1352981501,11,0,504,0,61,3,3,0
0,4,00,1,1352920984,3,0,207,0,29,3,3,0
0,14,18,1,1352897412,14,0,593,0,32,3,2,0
0,32,22,1,1352826435,35,0,1098,0,29,3,1,0
0,57,22,1,1352654319,58,0,2373,0,29,3,6,0
0,10,14,1,1352625444,4,0,582,0,42,3,6,0
0,16,00,1,1352486221,30,0,612,0,120,3,5,1
0,5,22,1,1352392204,22,0,279,0,26,3,3,0
0,1,15,1,1352281186,25,0,269,0,38,3,2,0
0,4,22,1,1352221800,13,0,190,0,94,3,1,1
0,1,12,1,1352184583,15,0,162,0,70,3,1,0
0,1,22,1,1352136161,3,0,200,0,45,3,0,0
0,3,14,1,1352104319,1,0,72,0,56,3,0,0
0,2,13,1,1352017410,1,0,128,0,78,3,6,0
0,0,22,1,1351875825,2,0,96,0,45,3,4,0
0,5,23,1,1351793488,3,0,349,0,72,3,3,1
0,0,18,1,1351773449,1,0,166,0,30,3,3,0
0,16,23,1,1351705336,5,0,643,0,66,3,2,0
0,1,01,1,1351626247,3,0,60,0,51,3,2,0
0,34,12,1,1351407544,26,0,961,0,17,3,6,0
0,17,00,1,1351278057,23,0,611,0,106,3,5,1
0,16,00,1,1351190037,28,0,610,0,157,3,4,3
0,22,02,1,1351113010,24,0,432,0,47,3,3,0
0,6,00,1,1351017162,17,0,321,0,50,3,2,0
0,4,00,1,1350932530,19,0,372,0,57,3,1,0
0,14,00,1,1350846348,37,0,481,0,38,3,0,0
0,14,00,1,1350760671,20,0,354,0,61,3,6,1
0,4,00,1,1350674339,18,0,211,0,47,3,5,0
0,9,17,1,1350563010,31,0,235,0,103,3,3,0
0,15,12,1,1350457645,20,0,525,0,23,3,2,0
0,1,01,1,1350418124,2,0,106,0,24,3,2,0
0,4,18,1,1350391021,15,0,117,0,98,3,1,0
0,5,23,1,1350323463,0,0,114,0,87,3,0,0
0,3,17,1,1350302981,23,0,138,0,46,3,0,0
0,8,17,1,1350130761,12,0,106,0,111,3,5,2
0,2,00,1,1350068780,31,0,168,0,34,3,5,0
0,0,20,0,1349966081,2,0,37,1,115,1,3,1
0,6,14,1,1349860470,6,0,121,0,70,3,2,0
0,51,18,1,1349788134,62,0,1321,0,29,3,1,0
0,1,16,1,1349693523,17,0,132,0,160,3,0,3
0,0,13,1,1349597427,11,0,109,0,40,3,6,0
0,11,12,1,1349506818,21,0,150,0,39,3,5,0
0,3,17,1,1349440015,29,0,148,0,28,3,4,0
0,0,23,1,1349375060,2,0,91,0,31,3,3,0
0,1,01,1,1349292650,3,0,65,0,34,3,3,0
0,1,09,1,1349238510,2,0,64,0,269,3,2,2
0,1,12,1,1349073257,13,0,134,0,88,3,0,0
0,4,12,1,1348988166,77,0,223,0,35,3,6,0
0,2,00,1,1348945434,2,0,110,0,25,3,6,0
0,0,14,1,1348910420,18,0,242,0,8,3,5,0
0,5,18,1,1348836006,13,0,106,0,53,3,4,0
0,12,09,1,1348717504,33,0,259,0,60,3,3,1
0,1,23,0,1348680687,2,1,41,0,181,4,2,4
0,3,16,1,1348569763,34,0,230,0,63,3,1,0
0,6,18,1,1348491097,18,0,175,0,51,3,0,0
0,2,10,0,1348461993,2,1,27,0,78,4,0,1
0,3,19,1,1348409544,3,0,211,0,44,3,6,0
0,1,18,1,1348318136,2,0,177,0,32,3,5,0
0,7,23,1,1348165121,37,0,262,0,26,3,3,0
0,5,22,1,1347988832,23,0,248,0,37,3,1,0
0,5,10,1,1347857851,36,0,368,0,50,3,0,1
0,6,22,1,1347643650,18,0,275,0,31,3,4,0
0,7,01,1,1347567326,2,0,192,0,85,3,4,0
0,7,00,1,1347388735,38,0,227,0,52,3,2,0
0,5,00,1,1347302513,2,0,161,0,56,3,1,0
0,3,16,1,1347273529,11,0,179,0,17,3,0,0
0,10,16,1,1347016180,13,0,206,0,84,3,4,1
0,5,17,1,1346934117,20,0,290,0,16,3,3,0
0,5,22,1,1346776631,11,0,224,0,40,3,1,0
0,2,15,1,1346668044,3,0,169,0,42,3,0,0
