status[2],comments,hour[3],photo[4],age[5],shares,videos[6],link[7],string_length[8],newlines[9],likes
0,13,13,1,1360570241,2,0,0,79,0,506
0,12,22,1,1360343555,0,0,0,32,0,431
0,14,23,1,1360175111,11,0,0,61,1,459
0,9,15,1,1360059425,6,0,0,81,1,490
0,6,21,1,1359820116,11,0,0,49,0,393
0,3,19,1,1359553115,4,0,0,275,1,67
0,0,16,1,1359369031,2,0,0,65,0,90
0,3,16,1,1359111751,6,0,0,34,0,199
0,0,0,1,1358968167,14,0,0,78,3,135
0,2,23,1,1358790675,2,0,0,48,0,110
0,2,22,1,1358355848,2,0,0,16,0,122
0,1,18,1,1358254057,5,0,0,20,0,163
0,3,23,1,1358185277,2,0,0,37,0,174
0,1,14,1,1358067576,1,0,0,37,0,159
0,4,13,1,1357978429,15,0,0,53,0,434
0,2,0,1,1357932405,1,0,0,29,0,237
0,8,0,1,1357845118,13,0,0,66,1,481
0,21,19,1,1357738990,16,0,0,41,0,896
0,17,22,1,1357665668,21,0,0,29,0,618
0,21,12,1,1357542688,18,0,0,34,0,784
0,20,20,1,1357484813,26,0,0,33,0,897
0,73,16,1,1357298892,51,0,0,32,0,2718
0,37,0,1,1357153970,57,0,0,38,0,2082
0,21,15,1,1357121738,15,0,0,38,0,780
0,4,23,1,1357062890,17,0,0,92,1,757
0,13,14,1,1357032227,6,0,0,104,1,697
0,28,18,1,1356958009,27,0,0,46,0,812
0,40,21,1,1356796444,33,0,0,118,3,1912
0,17,0,1,1356721125,18,0,0,77,0,795
0,8,16,1,1356691969,25,0,0,30,0,312
0,14,13,1,1356507946,24,0,0,24,0,313
0,1,23,1,1356458737,1,0,0,100,0,115
0,1,15,1,1356344044,5,0,0,25,0,88
0,2,12,1,1356246831,2,0,0,43,0,154
0,19,18,1,1356181423,26,0,0,45,0,524
0,20,0,1,1356116637,19,0,0,46,0,849
0,26,23,1,1355941127,12,0,0,41,0,1185
0,22,0,1,1355855582,25,0,0,31,0,629
0,18,0,1,1355769563,19,0,0,34,0,633
0,20,16,1,1355655754,36,0,0,69,1,998
0,11,14,1,1355560732,2,0,0,26,0,402
0,27,22,1,1355419012,35,0,0,29,0,997
0,16,18,1,1355316215,42,0,0,36,0,775
0,10,17,1,1355228051,19,0,0,46,0,380
0,8,0,1,1355080802,13,0,0,32,0,346
0,2,16,1,1355051382,11,0,0,49,0,143
0,1,1,1,1354909243,3,0,0,32,0,109
0,6,20,1,1354805786,12,0,0,30,0,204
0,3,17,1,1354622389,11,0,0,69,0,87
0,1,12,1,1354606073,3,0,0,28,0,121
0,4,15,1,1354528128,17,0,0,35,0,180
0,3,22,1,1354296554,2,0,0,27,0,269
0,1,0,1,1354129539,1,0,0,32,0,117
0,5,18,1,1354106127,18,0,0,38,0,201
0,11,13,1,1354003711,14,0,0,33,0,551
0,7,0,1,1353955700,12,0,0,60,0,330
0,5,15,1,1353925620,5,0,0,46,0,302
0,24,22,1,1353864265,40,0,0,59,0,1194
0,5,22,1,1353776484,24,0,0,43,0,557
0,8,17,1,1353585574,21,0,0,175,5,324
0,10,0,1,1353525764,19,0,0,56,0,188
0,7,12,1,1353480642,12,0,0,35,0,522
0,6,23,1,1353434058,23,0,0,55,0,361
0,65,21,1,1353341948,66,0,0,51,0,2138
0,31,13,1,1353225981,31,0,0,29,0,1137
0,17,0,1,1353179311,13,0,0,30,0,396
0,11,10,1,1353129508,22,0,0,35,0,670
